Sl no.,Substrate used,Substrate type,COD(mg/L),Substrate concentration (g/L),Influent pH,Temperature (°C),Inoculum Specific,inoculum type(pure vs mixed),reactor type,HRT or Reaction Time(h),Biohydrogen yield(L H₂/L/day),paper 
1,Glucose,Pure,2134,2,4.8,35,Municipal STP sludge.,Mixed Consortia (W),AFBR,2,4,https://pubmed.ncbi.nlm.nih.gov/22212393/
2,Glucose,Pure,4268,4,5,35,Municipal STP sludge.,Mixed Consortia (W),AFBR,2,11.96,https://pubmed.ncbi.nlm.nih.gov/22212393/
3,Glucose,Pure,"10,670",10,5.5,35,Municipal STP sludge.,Mixed Consortia (W),AFBR,2,44.98,https://pubmed.ncbi.nlm.nih.gov/22212393/
4,Glucose,Pure,"26,675",25,6,35,Municipal STP sludge.,Mixed Consortia (W),AFBR,2,150.08,https://pubmed.ncbi.nlm.nih.gov/22212393/
5,Organic waste,Food & Municipal Waste,"2,000",,5.5,34,Local anaerobic digester (immobilized).,Mixed Consortia (F),Immobilized Anaerobic Reactor,24,2.85,https://doi.org/10.4028/www.scientific.net/AMR.113-116.2062
6,Organic waste,Food & Municipal Waste,"6,000",,5.5,34,Local anaerobic digester (immobilized).,Mixed Consortia (F),Immobilized Anaerobic Reactor,24,5.2,https://doi.org/10.4028/www.scientific.net/AMR.113-116.2062
7,Sucrose,Pure,"10,670",10,5.25,35,Digested sludge from municipal sewage works.,Mixed Consortia (W),CSTR,12,0.29,https://westminsterresearch.westminster.ac.uk/item/922x4/influence-of-substrate-concentration-on-the-stability-and-yield-of-continuous-biohydrogen-production
8,Sucrose,Pure,"21,340",20,5.25,35,Digested sludge from municipal sewage works.,Mixed Consortia (W),CSTR,12,0.79,https://westminsterresearch.westminster.ac.uk/item/922x4/influence-of-substrate-concentration-on-the-stability-and-yield-of-continuous-biohydrogen-production
9,Sucrose,Pure,"42,680",40,5.25,35,Digested sludge from municipal sewage works.,Mixed Consortia (W),CSTR,12,2.3,https://westminsterresearch.westminster.ac.uk/item/922x4/influence-of-substrate-concentration-on-the-stability-and-yield-of-continuous-biohydrogen-production
10,Sucrose,Pure,"53,350",50,5.25,35,Digested sludge from municipal sewage works.,Mixed Consortia (W),CSTR,12,3.403,https://westminsterresearch.westminster.ac.uk/item/922x4/influence-of-substrate-concentration-on-the-stability-and-yield-of-continuous-biohydrogen-production
11,Xylose,Pure,"8,025",7.5,7,70,Acidogenic sludge from wastewater facility.,Mixed Consortia (W),Batch,72,3.4,https://pubmed.ncbi.nlm.nih.gov/27858340/
12,Lignocellulosic hydrolysate,Lignocellulosic/Agri-Residue,"2,140",2,5.5,37,Cattle manure & distillery waste enriched sludge.,Mixed Consortia (P),Batch,72,0.42,https://www.researchgate.net/publication/380111452_Biohydrogen_Production_from_Lignocellulosic_Hydrolysate_Unveiling_Synergistic_Impact_of_Substrate_Concentration_and_Furfural_Inhibition
13,Lignocellulosic hydrolysate,Lignocellulosic/Agri-Residue,"8,560",8,5.5,37,Cattle manure & distillery waste enriched sludge.,Mixed Consortia (P),Batch,72,1.27,https://www.researchgate.net/publication/380111452_Biohydrogen_Production_from_Lignocellulosic_Hydrolysate_Unveiling_Synergistic_Impact_of_Substrate_Concentration_and_Furfural_Inhibition
14,Lignocellulosic hydrolysate,Lignocellulosic/Agri-Residue,"17,120",16,5.5,37,Cattle manure & distillery waste enriched sludge.,Mixed Consortia (P),Batch,72,2.18,https://www.researchgate.net/publication/380111452_Biohydrogen_Production_from_Lignocellulosic_Hydrolysate_Unveiling_Synergistic_Impact_of_Substrate_Concentration_and_Furfural_Inhibition
15,Lignocellulosic hydrolysate,Lignocellulosic/Agri-Residue,"25,680",24,5.5,37,Cattle manure & distillery waste enriched sludge.,Mixed Consortia (P),Batch,72,2.3,https://www.researchgate.net/publication/380111452_Biohydrogen_Production_from_Lignocellulosic_Hydrolysate_Unveiling_Synergistic_Impact_of_Substrate_Concentration_and_Furfural_Inhibition
16,Lignocellulosic hydrolysate,Lignocellulosic/Agri-Residue,"34,240",32,5.5,37,Cattle manure & distillery waste enriched sludge.,Mixed Consortia (P),Batch,72,2.75,https://www.researchgate.net/publication/380111452_Biohydrogen_Production_from_Lignocellulosic_Hydrolysate_Unveiling_Synergistic_Impact_of_Substrate_Concentration_and_Furfural_Inhibition
17,Wheat straw hydrolysate,Lignocellulosic/Agri-Residue,"50,000",25,5.5,70,Wheat straw-fed pilot biogas plant sludge.,Mixed Consortia (P),Batch and CSTR,120,0.318,https://pubmed.ncbi.nlm.nih.gov/19998285/
18,Food waste hydrolysate,Food & Municipal Waste,"24,350",24.35,5.5,35,Food waste anaerobic digester seed sludge.,Mixed Consortia (F),Batch,48,5.55,https://www.nature.com/articles/srep38395 ​
19,Molasses,Sugar & Dairy By-products,"850,000",40,4.4,37,Lab stocks (C. pasteurianum / tyrobutyricum).,Pure Strain (L),Continuous,6,33.32,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
20,Sugar beet molasses,Sugar & Dairy By-products,"790,000",38,4.6,37,Lab-isolated Clostridium.,Pure Strain (L),Continuous,12,7.6,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k
21,Paper mill effluent,Industrial Wastewater,"27,350",25,7,37,Activated sludge from paper and pulp mill.,Mixed Consortia (W),PBR,24,6.21,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k
22,Food waste,Food & Municipal Waste,"22,000",22,6.25,37,Municipal wastewater sludge (food-waste focused).,Mixed Consortia (F),CSTR,24,0.73,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
23,Winery wastewater,Industrial Wastewater,"523,000",35,5.5,37,Winery wastewater / grape deposit sediment.,Mixed Consortia (W),Continuous,24,1.44,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
24,Vinicultural biomass,Lignocellulosic/Agri-Residue,"25,000",14,5.7,37,Vinicultural biomass enriched culture.,Mixed Consortia (P),Continuous,48,0.19,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
25,Winery wastewater,Industrial Wastewater,"108,600",25,5.3,37,Lab-isolated Lactobacillus and Clostridium.,Pure Strain (L),Continuous,24,0.05,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
26,Palm oil mill discharge,Industrial Wastewater,"45,400",15,4.5,60,Palm oil mill effluent (POME) sludge.,Mixed Consortia (W),Continuous,12,6.1,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
27,Tequila vinasses,Industrial Wastewater,"20,000",24,7.5,54.7,Tequila vinasse treatment plant sludge.,Mixed Consortia (W),Continuous,24,3.6,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
28,Cheese whey,Sugar & Dairy By-products,"70,400",23,4.25,28,Lab stock Rhodobacter.,Pure Strain (L),Continuous,48,0.1,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
29,Potato waste,Food & Municipal Waste,"20,000",40,7,50,Enterobacter isolated from potato waste.,Pure Strain (L),Batch,72,1.58,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
30,Cassava wastewater,Industrial Wastewater,"14,000",2.3,6,30,Cassava wastewater processing sludge.,Mixed Consortia (W),Continuous,8,0.7,https://pubs.rsc.org/en/content/articlehtml/2024/ra/d4ra06214k ​
